Country,Diabetes
Austria,0.13492822966507176
Germany,0.1464124966904951
Sweden,0.11601513240857503
Spain,0.16806722689075632
Italy,0.12655141843971632
France,0.11755725190839694
Denmark,0.08083645443196005
Greece,0.13912756113681427
Switzerland,0.07750631844987363
Belgium,0.11785418392709196
Israel,0.23807251908396945
Czech Republic,0.20925215723873442
Poland,0.1623320329432163
Luxembourg,0.12581699346405228
Hungary,0.19233311302048908
Portugal,0.2306464485235435
Slovenia,0.1474780701754386
Estonia,0.12851726202354818
Croatia,0.1386892177589852
Lithuania,0.0965133906013138
Bulgaria,0.12357807652533609
Cyprus,0.16470588235294117
Finland,0.14285714285714285
Latvia,0.10279263220439691
Malta,0.18951612903225806
Romania,0.12086827824370992
Slovakia,0.07427993936331481
