Country,Parkinson
Austria,0.008825319537431528
Germany,0.00851553509781358
Sweden,0.007749935417204857
Spain,0.013333333333333334
Italy,0.007889166827015586
France,0.008518327310273618
Denmark,0.00572987721691678
Greece,0.01163515478911282
Switzerland,0.007215007215007215
Belgium,0.008764241893076249
Israel,0.01643426294820717
Czech Republic,0.01044059302568386
Poland,0.00778642936596218
Luxembourg,0.01098901098901099
Portugal,0.007821901323706379
Slovenia,0.005733397037744864
Estonia,0.010836192884233339
Croatia,0.005319148936170213
