Country,Diabetes
Austria,0.14349775784753363
Germany,0.15853658536585366
Sweden,0.12015338730293992
Netherlands,0.10943983402489627
Spain,0.19072408897302415
Italy,0.13636363636363635
France,0.12530413625304138
Denmark,0.0893105043961129
Greece,0.16263440860215053
Switzerland,0.088841882601798
Belgium,0.12619406737053795
Israel,0.2668845315904139
Czech Republic,0.2147352832284339
Poland,0.20426977195536147
Luxembourg,0.12658227848101267
Hungary,0.23667100130039012
Slovenia,0.1655283246283648
Estonia,0.14342762063227954
Croatia,0.15254237288135594
Lithuania,0.10344827586206896
Bulgaria,0.14669652855543114
Cyprus,0.22201492537313433
Finland,0.15151515151515152
Latvia,0.09819121447028424
Malta,0.20074812967581046
Romania,0.13064133016627077
Slovakia,0.09053916581892167
