Country,Diabetes
Austria,0.12964090079123555
Germany,0.14016110471806675
Sweden,0.10643244639628004
Spain,0.17981981981981981
Italy,0.12045410813931114
France,0.11538461538461539
Denmark,0.07612551159618008
Greece,0.13567421566590485
Switzerland,0.08189033189033189
Belgium,0.11218229623137599
Israel,0.2604581673306773
Czech Republic,0.1994153267905617
Poland,0.1457174638487208
Luxembourg,0.11376858435681965
Portugal,0.21780986762936222
Slovenia,0.14452938365981843
Estonia,0.1349106014087051
Croatia,0.13216039279869068
