Country,Parkinson
Austria,0.010526315789473684
Germany,0.007942811755361398
Sweden,0.007566204287515763
Spain,0.015082956259426848
Italy,0.010195035460992909
France,0.00916030534351145
Denmark,0.005930087390761548
Greece,0.008922670191672175
Switzerland,0.005054759898904802
Belgium,0.008699254349627174
Israel,0.016221374045801526
Czech Republic,0.010786193672099712
Poland,0.008019072388383182
Luxembourg,0.006535947712418301
Hungary,0.013879709187045605
Portugal,0.0111731843575419
Slovenia,0.005756578947368421
Estonia,0.01277190181600479
Croatia,0.00718816067653277
Lithuania,0.012632642748863061
Bulgaria,0.007238883143743537
Cyprus,0.009243697478991597
Finland,0.005065856129685917
Latvia,0.0035650623885918
Malta,0.007258064516129033
Romania,0.007893438579181056
Slovakia,0.0025265285497726125
